Lysogen	Contrast	Direction	COG	DE	No_DE	Total	Ratio	p
GBJ002	Time 10 vs 0	UP	Replication, recombination and repair (L)	5	110	115	0.043478261	0.004679077
GBJ002	Time 30 vs 0	UP	Energy production and conversion (C)	28	144	172	0.162790698	0.00252127
GBJ002	Time 30 vs 0	UP	Replication, recombination and repair (L)	21	94	115	0.182608696	0.00252127
GBJ002	Time 30 vs 0	UP	Coenzyme transport and metabolism (H)	29	171	200	0.145	0.006983984
GBJ002	Time 60 vs 0	UP	Chromatin structure and dynamics (B)	5	0	5	1	0.001323324
GBJ002	Time 60 vs 0	UP	Energy production and conversion (C)	41	131	172	0.238372093	0.003325391
GBJ002	Time 60 vs 0	DOWN	Cell motility (N)	14	19	33	0.424242424	0.001618428
GBJ002	Time 60 vs 0	DOWN	Amino acid transport and metabolism (E)	66	256	322	0.204968944	0.007795162
GBJ002	Time 60 vs 60-mock	UP	Replication, recombination and repair (L)	36	79	115	0.313043478	5.56E-08
GBJ002	Time 60 vs 60-mock	UP	Nucleotide transport and metabolism (F)	23	87	110	0.209090909	0.022290988
GBJ002	Time 60 vs 60-mock	DOWN	Cell motility (N)	15	18	33	0.454545455	1.61E-05
GBJ002	Time 60-mock vs 0	UP	Energy production and conversion (C)	37	135	172	0.215116279	8.41E-06
GBJ002	Time 60-mock vs 0	UP	Chromatin structure and dynamics (B)	4	1	5	0.8	0.003992877
GIL01	Time 10 vs 0	UP	Replication, recombination and repair (L)	8	107	115	0.069565217	1.17E-06
GIL01	Time 30 vs 0	UP	Replication, recombination and repair (L)	20	95	115	0.173913043	1.34E-05
GIL01	Time 30 vs 0	UP	Energy production and conversion (C)	22	150	172	0.127906977	0.00035013
GIL01	Time 30 vs 0	DOWN	Amino acid transport and metabolism (E)	46	276	322	0.142857143	1.22E-07
GIL01	Time 60 vs 0	UP	Energy production and conversion (C)	41	131	172	0.238372093	1.48E-07
GIL01	Time 60 vs 0	UP	Carbohydrate transport and metabolism (G)	33	168	201	0.164179104	0.006277577
GIL01	Time 60 vs 0	UP	Replication, recombination and repair (L)	22	93	115	0.191304348	0.006277577
GIL01	Time 60 vs 60-mock	UP	Replication, recombination and repair (L)	25	90	115	0.217391304	0.000634329
GIL01	Time 60 vs 60-mock	UP	Inorganic ion transport and metabolism (P)	35	171	206	0.169902913	0.002072657
GIL01	Time 60 vs 60-mock	UP	Carbohydrate transport and metabolism (G)	32	169	201	0.15920398	0.008705157
GIL01	Time 60-mock vs 0	UP	Energy production and conversion (C)	28	144	172	0.162790698	1.85E-05
GIL01	Time 60-mock vs 0	UP	Carbohydrate transport and metabolism (G)	29	172	201	0.144278607	7.43E-05
GIL01	Time 60-mock vs 0	UP	Amino acid transport and metabolism (E)	33	289	322	0.102484472	0.011266213
GIL01	Time 60-mock vs 0	UP	Nucleotide transport and metabolism (F)	14	96	110	0.127272727	0.03588416
GIL01	Time 60-mock vs 0	UP	Lipid transport and metabolism (I)	15	113	128	0.1171875	0.046304349
GIL16	Time 30 vs 0	UP	Energy production and conversion (C)	23	149	172	0.13372093	0.001332382
GIL16	Time 30 vs 0	UP	Replication, recombination and repair (L)	18	97	115	0.156521739	0.001332382
GIL16	Time 30 vs 0	UP	Chromatin structure and dynamics (B)	3	2	5	0.6	0.014711965
GIL16	Time 30 vs 0	UP	Coenzyme transport and metabolism (H)	21	179	200	0.105	0.031784555
GIL16	Time 60 vs 0	UP	Energy production and conversion (C)	32	140	172	0.186046512	2.14E-05
GIL16	Time 60 vs 0	UP	Inorganic ion transport and metabolism (P)	33	173	206	0.160194175	0.000219544
GIL16	Time 60 vs 60-mock	UP	Inorganic ion transport and metabolism (P)	31	175	206	0.150485437	0.000659699
GIL16	Time 60 vs 60-mock	UP	Replication, recombination and repair (L)	18	97	115	0.156521739	0.011099805
GIL16	Time 60 vs 60-mock	UP	Carbohydrate transport and metabolism (G)	26	175	201	0.129353234	0.011629871
GIL16	Time 60 vs 60-mock	DOWN	Energy production and conversion (C)	34	138	172	0.197674419	0.004209991
GIL16	Time 60-mock vs 0	UP	Energy production and conversion (C)	32	140	172	0.186046512	2.55E-06
GIL16	Time 60-mock vs 0	UP	Carbohydrate transport and metabolism (G)	27	174	201	0.134328358	0.005913029
GIL16	Time 60-mock vs 0	UP	Amino acid transport and metabolism (E)	37	285	322	0.114906832	0.00821647
