Lysogen	Contrast	Direction	KEGG	DE	No_DE	Total	Ratio	p
GBJ002	Time 10 vs 0	UP	Replication and repair	3	9	12	0.25	3.35E-05
GBJ002	Time 10 vs 0	DOWN	Glycan biosynthesis and metabolism	1	23	24	0.041666667	0.0192
GBJ002	Time 30 vs 0	UP	Carbohydrate metabolism	12	21	33	0.363636364	0.000492526
GBJ002	Time 30 vs 0	UP	Global and overview maps	30	149	179	0.167597765	0.003633469
GBJ002	Time 30 vs 0	UP	Replication and repair	6	6	12	0.5	0.004754547
GBJ002	Time 30 vs 0	UP	Carbohydrate metabolism	8	19	27	0.296296296	0.021839903
GBJ002	Time 30 vs 0	DOWN	Amino acid metabolism	9	24	33	0.272727273	0.033061451
GBJ002	Time 30 vs 0	DOWN	Folding, sorting and degradation	7	16	23	0.304347826	0.035259857
GBJ002	Time 60 vs 0	UP	Carbohydrate metabolism	12	19	31	0.387096774	0.030172215
GBJ002	Time 60 vs 0	UP	Carbohydrate metabolism	12	21	33	0.363636364	0.030172215
GBJ002	Time 60 vs 0	UP	Carbohydrate metabolism	14	28	42	0.333333333	0.030172215
GBJ002	Time 60 vs 0	UP	Carbohydrate metabolism	16	37	53	0.301886792	0.032549399
GBJ002	Time 60 vs 0	UP	Global and overview maps	39	140	179	0.217877095	0.032549399
GBJ002	Time 60 vs 0	UP	Replication and repair	6	6	12	0.5	0.042284688
GBJ002	Time 60 vs 0	DOWN	Amino acid metabolism	14	2	16	0.875	9.14E-09
GBJ002	Time 60 vs 0	DOWN	Cell motility	13	16	29	0.448275862	0.00273559
GBJ002	Time 60 vs 0	DOWN	Global and overview maps	35	97	132	0.265151515	0.002899387
GBJ002	Time 60 vs 0	DOWN	Carbohydrate metabolism	7	4	11	0.636363636	0.004541821
GBJ002	Time 60 vs 0	DOWN	Cell motility	12	19	31	0.387096774	0.010255929
GBJ002	Time 60 vs 0	DOWN	Lipid metabolism	9	11	20	0.45	0.010255929
GBJ002	Time 60 vs 0	DOWN	Drug resistance: antimicrobial	9	11	20	0.45	0.010255929
GBJ002	Time 60 vs 0	DOWN	Global and overview maps	14	27	41	0.341463415	0.010828513
GBJ002	Time 60 vs 0	DOWN	Metabolism of cofactors and vitamins	10	15	25	0.4	0.012612505
GBJ002	Time 60 vs 0	DOWN	Energy metabolism	7	10	17	0.411764706	0.048653882
GBJ002	Time 60 vs 60-mock	UP	Global and overview maps	21	31	52	0.403846154	8.28E-06
GBJ002	Time 60 vs 60-mock	UP	Replication and repair	13	13	26	0.5	7.23E-05
GBJ002	Time 60 vs 60-mock	UP	Replication and repair	12	12	24	0.5	0.000123691
GBJ002	Time 60 vs 60-mock	UP	Replication and repair	12	13	25	0.48	0.000159782
GBJ002	Time 60 vs 60-mock	UP	Replication and repair	8	4	12	0.666666667	0.000189714
GBJ002	Time 60 vs 60-mock	UP	Nucleotide metabolism	17	39	56	0.303571429	0.002008366
GBJ002	Time 60 vs 60-mock	UP	Nucleotide metabolism	14	29	43	0.325581395	0.002992683
GBJ002	Time 60 vs 60-mock	DOWN	Cell motility	13	16	29	0.448275862	0.001630811
GBJ002	Time 60 vs 60-mock	DOWN	Cell motility	12	19	31	0.387096774	0.007872407
GBJ002	Time 60 vs 60-mock	DOWN	Cellular community - prokaryotes	21	54	75	0.28	0.007872407
GBJ002	Time 60 vs 60-mock	DOWN	Amino acid metabolism	11	22	33	0.333333333	0.033272738
GBJ002	Time 60 vs 60-mock	DOWN	Drug resistance: antimicrobial	8	12	20	0.4	0.033272738
GBJ002	Time 60 vs 60-mock	DOWN	Signal transduction	27	96	123	0.219512195	0.035942898
GBJ002	Time 60 vs 60-mock	DOWN	Amino acid metabolism	11	24	35	0.314285714	0.035942898
GBJ002	Time 60-mock vs 0	UP	Global and overview maps	33	77	110	0.3	9.33E-08
GBJ002	Time 60-mock vs 0	UP	Carbohydrate metabolism	14	10	24	0.583333333	2.37E-07
GBJ002	Time 60-mock vs 0	UP	Energy metabolism	12	16	28	0.428571429	0.000155468
GBJ002	Time 60-mock vs 0	UP	Global and overview maps	36	143	179	0.201117318	0.000302046
GBJ002	Time 60-mock vs 0	UP	Metabolism of cofactors and vitamins	8	10	18	0.444444444	0.002648532
GBJ002	Time 60-mock vs 0	UP	Carbohydrate metabolism	11	22	33	0.333333333	0.002964031
GBJ002	Time 60-mock vs 0	UP	Amino acid metabolism	9	15	24	0.375	0.003494573
GBJ002	Time 60-mock vs 0	UP	Carbohydrate metabolism	11	24	35	0.314285714	0.003986768
GBJ002	Time 60-mock vs 0	UP	Global and overview maps	52	304	356	0.146067416	0.01393335
GBJ002	Time 60-mock vs 0	DOWN	Amino acid metabolism	10	6	16	0.625	1.46E-05
