Sample	Strain	Time	MMC	Replicate
GBJ002_t0_I	GBJ002	0	FALSE	I
GBJ002_t0_II	GBJ002	0	FALSE	II
GBJ002_t0_III	GBJ002	0	FALSE	III
GBJ002_t10_I	GBJ002	10	TRUE	I
GBJ002_t10_II	GBJ002	10	TRUE	II
GBJ002_t10_III	GBJ002	10	TRUE	III
GBJ002_t30_I	GBJ002	30	TRUE	I
GBJ002_t30_II	GBJ002	30	TRUE	II
GBJ002_t30_III	GBJ002	30	TRUE	III
GBJ002_t60_I	GBJ002	60	TRUE	I
GBJ002_t60_II	GBJ002	60	TRUE	II
GBJ002_t60_III	GBJ002	60	TRUE	III
GBJ002_t60-mock_I	GBJ002	60	FALSE	I
GBJ002_t60-mock_II	GBJ002	60	FALSE	II
GBJ002_t60-mock_III	GBJ002	60	FALSE	III
GIL01_t0_I	GIL01	0	FALSE	I
GIL01_t0_II	GIL01	0	FALSE	II
GIL01_t0_III	GIL01	0	FALSE	III
GIL01_t10_I	GIL01	10	TRUE	I
GIL01_t10_II	GIL01	10	TRUE	II
GIL01_t10_III	GIL01	10	TRUE	III
GIL01_t30_I	GIL01	30	TRUE	I
GIL01_t30_II	GIL01	30	TRUE	II
GIL01_t30_III	GIL01	30	TRUE	III
GIL01_t60_I	GIL01	60	TRUE	I
GIL01_t60_II	GIL01	60	TRUE	II
GIL01_t60_III	GIL01	60	TRUE	III
GIL01_t60-mock_I	GIL01	60	FALSE	I
GIL01_t60-mock_II	GIL01	60	FALSE	II
GIL01_t60-mock_III	GIL01	60	FALSE	III
GIL16_t0_I	GIL16	0	FALSE	I
GIL16_t0_II	GIL16	0	FALSE	II
GIL16_t0_III	GIL16	0	FALSE	III
GIL16_t10_I	GIL16	10	TRUE	I
GIL16_t10_II	GIL16	10	TRUE	II
GIL16_t10_III	GIL16	10	TRUE	III
GIL16_t30_I	GIL16	30	TRUE	I
GIL16_t30_II	GIL16	30	TRUE	II
GIL16_t30_III	GIL16	30	TRUE	III
GIL16_t60_I	GIL16	60	TRUE	I
GIL16_t60_II	GIL16	60	TRUE	II
GIL16_t60_III	GIL16	60	TRUE	III
GIL16_t60-mock_I	GIL16	60	FALSE	I
GIL16_t60-mock_II	GIL16	60	FALSE	II
GIL16_t60-mock_III	GIL16	60	FALSE	III
