Sample	GIL01	GIL01_unaligned	GIL16	GIL16_unaligned	Unaligned	chromosome	chromosome_unaligned	pBtic235	pBtic235_unaligned
GBJ002_III_paired	0.0	0.0	0.0	0.0	12128.0	15392972.0	2172.0	315288.0	96.0
GBJ002_III_unpaired_R1	0.0	0.0	0.0	0.0	6818.0	446369.0	0.0	6107.0	0.0
GBJ002_III_unpaired_R2	0.0	0.0	0.0	0.0	1689.0	89338.0	0.0	1551.0	0.0
GBJ002_II_paired	0.0	0.0	0.0	0.0	27422.0	17099467.0	3190.0	337137.0	160.0
GBJ002_II_unpaired_R1	0.0	0.0	0.0	0.0	9564.0	502264.0	0.0	7074.0	0.0
GBJ002_II_unpaired_R2	0.0	0.0	0.0	0.0	2333.0	88044.0	0.0	1480.0	0.0
GBJ002_I_paired	0.0	0.0	0.0	0.0	23322.0	10865993.0	2598.0	256890.0	87.0
GBJ002_I_unpaired_R1	0.0	0.0	0.0	0.0	12198.0	378133.0	0.0	6201.0	0.0
GBJ002_I_unpaired_R2	0.0	0.0	0.0	0.0	3030.0	69643.0	0.0	1315.0	0.0
GBJ002_t0_III_paired	0.0	0.0	0.0	0.0	49426.0	11362003.0	12180.0	683558.0	989.0
GBJ002_t0_III_unpaired_R1	0.0	0.0	0.0	0.0	2259.0	77007.0	0.0	4198.0	0.0
GBJ002_t0_III_unpaired_R2	0.0	0.0	0.0	0.0	2862.0	146342.0	0.0	8429.0	0.0
GBJ002_t0_II_paired	0.0	0.0	0.0	0.0	161032.0	28321103.0	33330.0	2576221.0	3676.0
GBJ002_t0_II_unpaired_R1	0.0	0.0	0.0	0.0	7924.0	240565.0	0.0	20347.0	0.0
GBJ002_t0_II_unpaired_R2	0.0	0.0	0.0	0.0	10800.0	420714.0	0.0	36412.0	0.0
GBJ002_t0_I_paired	0.0	0.0	0.0	0.0	178232.0	25496458.0	22368.0	1817979.0	2109.0
GBJ002_t0_I_unpaired_R1	0.0	0.0	0.0	0.0	7901.0	200732.0	0.0	13327.0	0.0
GBJ002_t0_I_unpaired_R2	0.0	0.0	0.0	0.0	10903.0	367257.0	0.0	25197.0	0.0
GBJ002_t10_III_paired	0.0	0.0	0.0	0.0	54972.0	11165833.0	13559.0	855462.0	1310.0
GBJ002_t10_III_unpaired_R1	0.0	0.0	0.0	0.0	2910.0	124291.0	0.0	8396.0	0.0
GBJ002_t10_III_unpaired_R2	0.0	0.0	0.0	0.0	3091.0	135676.0	0.0	10085.0	0.0
GBJ002_t10_II_paired	0.0	0.0	0.0	0.0	122044.0	23097972.0	23350.0	2535331.0	3295.0
GBJ002_t10_II_unpaired_R1	0.0	0.0	0.0	0.0	7104.0	229910.0	0.0	22836.0	0.0
GBJ002_t10_II_unpaired_R2	0.0	0.0	0.0	0.0	8787.0	336383.0	0.0	35789.0	0.0
GBJ002_t10_I_paired	0.0	0.0	0.0	0.0	314430.0	33529914.0	29400.0	4153294.0	5784.0
GBJ002_t10_I_unpaired_R1	0.0	0.0	0.0	0.0	8918.0	316909.0	0.0	34887.0	0.0
GBJ002_t10_I_unpaired_R2	0.0	0.0	0.0	0.0	16849.0	495785.0	0.0	59563.0	0.0
GBJ002_t30_III_paired	0.0	0.0	0.0	0.0	179434.0	20050798.0	18985.0	2518447.0	3244.0
GBJ002_t30_III_unpaired_R1	0.0	0.0	0.0	0.0	14497.0	228722.0	0.0	25728.0	0.0
GBJ002_t30_III_unpaired_R2	0.0	0.0	0.0	0.0	17143.0	290458.0	0.0	35437.0	0.0
GBJ002_t30_II_paired	0.0	0.0	0.0	0.0	216502.0	25561032.0	30566.0	2471318.0	3416.0
GBJ002_t30_II_unpaired_R1	0.0	0.0	0.0	0.0	9628.0	204341.0	0.0	19215.0	0.0
GBJ002_t30_II_unpaired_R2	0.0	0.0	0.0	0.0	13483.0	357400.0	0.0	33662.0	0.0
GBJ002_t30_I_paired	0.0	0.0	0.0	0.0	673878.0	26530829.0	25680.0	3958599.0	4966.0
GBJ002_t30_I_unpaired_R1	0.0	0.0	0.0	0.0	35001.0	188740.0	0.0	26054.0	0.0
GBJ002_t30_I_unpaired_R2	0.0	0.0	0.0	0.0	44180.0	395203.0	0.0	57361.0	0.0
GBJ002_t60-mock_III_paired	0.0	0.0	0.0	0.0	65938.0	36499923.0	31285.0	1454696.0	1764.0
GBJ002_t60-mock_III_unpaired_R1	0.0	0.0	0.0	0.0	5398.0	250490.0	0.0	9509.0	0.0
GBJ002_t60-mock_III_unpaired_R2	0.0	0.0	0.0	0.0	6585.0	519892.0	0.0	20300.0	0.0
GBJ002_t60-mock_II_paired	0.0	0.0	0.0	0.0	33800.0	26183210.0	32083.0	569791.0	832.0
GBJ002_t60-mock_II_unpaired_R1	0.0	0.0	0.0	0.0	5551.0	217668.0	0.0	5685.0	0.0
GBJ002_t60-mock_II_unpaired_R2	0.0	0.0	0.0	0.0	4036.0	412197.0	0.0	7551.0	0.0
GBJ002_t60-mock_I_paired	0.0	0.0	0.0	0.0	300950.0	25452092.0	28844.0	1273698.0	1780.0
GBJ002_t60-mock_I_unpaired_R1	0.0	0.0	0.0	0.0	28378.0	203994.0	0.0	10709.0	0.0
