Sample	Group	Replicate	Time
GBJ002_t0_I	GBJ002_t0	I	0
GBJ002_t0_II	GBJ002_t0	II	0
GBJ002_t0_III	GBJ002_t0	III	0
GBJ002_t10_I	GBJ002_t10	I	10
GBJ002_t10_II	GBJ002_t10	II	10
GBJ002_t10_III	GBJ002_t10	III	10
GBJ002_t30_I	GBJ002_t30	I	30
GBJ002_t30_II	GBJ002_t30	II	30
GBJ002_t30_III	GBJ002_t30	III	30
GBJ002_t60_I	GBJ002_t60	I	60
GBJ002_t60_II	GBJ002_t60	II	60
GBJ002_t60_III	GBJ002_t60	III	60
GBJ002_t60-mock_I	GBJ002_t60-mock	I	60-mock
GBJ002_t60-mock_II	GBJ002_t60-mock	II	60-mock
GBJ002_t60-mock_III	GBJ002_t60-mock	III	60-mock
GIL01_t0_I	GIL01_t0	I	0
GIL01_t0_II	GIL01_t0	II	0
GIL01_t0_III	GIL01_t0	III	0
GIL01_t10_I	GIL01_t10	I	10
GIL01_t10_II	GIL01_t10	II	10
GIL01_t10_III	GIL01_t10	III	10
GIL01_t30_I	GIL01_t30	I	30
GIL01_t30_II	GIL01_t30	II	30
GIL01_t30_III	GIL01_t30	III	30
GIL01_t60_I	GIL01_t60	I	60
GIL01_t60_II	GIL01_t60	II	60
GIL01_t60_III	GIL01_t60	III	60
GIL01_t60-mock_I	GIL01_t60-mock	I	60-mock
GIL01_t60-mock_II	GIL01_t60-mock	II	60-mock
GIL01_t60-mock_III	GIL01_t60-mock	III	60-mock
GIL16_t0_I	GIL16_t0	I	0
GIL16_t0_II	GIL16_t0	II	0
GIL16_t0_III	GIL16_t0	III	0
GIL16_t10_I	GIL16_t10	I	10
GIL16_t10_II	GIL16_t10	II	10
GIL16_t10_III	GIL16_t10	III	10
GIL16_t30_I	GIL16_t30	I	30
GIL16_t30_II	GIL16_t30	II	30
GIL16_t30_III	GIL16_t30	III	30
GIL16_t60_I	GIL16_t60	I	60
GIL16_t60_II	GIL16_t60	II	60
GIL16_t60_III	GIL16_t60	III	60
GIL16_t60-mock_I	GIL16_t60-mock	I	60-mock
GIL16_t60-mock_II	GIL16_t60-mock	II	60-mock
GIL16_t60-mock_III	GIL16_t60-mock	III	60-mock
