Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
chromosome	cds	196	939	-	GBJ002_00001		Class I SAM-dependent methyltransferase	RefSeq:WP_001004294.1, SO:0001217, UniParc:UPI00005B4234, UniRef:UniRef100_A0A9X7JA31, UniRef:UniRef50_A0A5M9H484, UniRef:UniRef90_A0A9X7JA31
chromosome	cds	1122	1505	-	GBJ002_00002	ytfP	Gamma-glutamylcyclotransferase family protein	COG:COG2105, COG:E, EC:2.3.2.-, KEGG:K19761, RefSeq:WP_000274901.1, SO:0001217, UniParc:UPI00005B3F49, UniRef:UniRef100_A0A9X6TKU7, UniRef:UniRef50_A0A5M9H397, UniRef:UniRef90_A0A2B0XR16
chromosome	cds	1531	3648	-	GBJ002_00003	recQ	DNA helicase RecQ	COG:COG0514, COG:L, EC:5.6.2.4, GO:0003678, GO:0006310, GO:0009432, RefSeq:WP_000494275.1, SO:0001217, UniParc:UPI00005B3DFB, UniRef:UniRef100_A0A9X6TKG6, UniRef:UniRef50_O34748, UniRef:UniRef90_Q81CF4
chromosome	cds	3924	4085	+	GBJ002_00004		hypothetical protein	SO:0001217, UniParc:UPI00016B598D, UniRef:UniRef100_A0A9X6SP29, UniRef:UniRef50_A0A2B6D0J3, UniRef:UniRef90_A0A9X6SP29
chromosome	cds	4770	5393	+	GBJ002_00005		Acetylglutamate kinase	RefSeq:WP_000287734.1, SO:0001217, UniParc:UPI00016B598E, UniRef:UniRef100_A0A9X6SP32, UniRef:UniRef50_Q81CF2, UniRef:UniRef90_Q81CF2
chromosome	cds	5571	5927	+	GBJ002_00006		Cytoplasmic protein	RefSeq:WP_000606231.1, SO:0001217, UniParc:UPI000018E65B, UniRef:UniRef100_A0A0A3VU71, UniRef:UniRef50_A0A090ZBR2, UniRef:UniRef90_J8EUI4
chromosome	cds	6062	6514	+	GBJ002_00007		Group-specific protein	RefSeq:WP_000877576.1, SO:0001217, UniParc:UPI00016B598F, UniRef:UniRef100_A0A9X6XTH1, UniRef:UniRef50_Q81CF1, UniRef:UniRef90_Q81CF1
chromosome	cds	6906	7736	-	GBJ002_00008	acm	N-acetylmuramoyl-L-alanine amidase	COG:COG3757, COG:M, KEGG:K07273, RefSeq:WP_000540626.1, SO:0001217, UniParc:UPI0001A1E946, UniRef:UniRef100_A0A9X6TKW3, UniRef:UniRef50_I7J6U6, UniRef:UniRef90_Q81CE8
chromosome	cds	8072	8806	-	GBJ002_00009	amiC	N-acetylmuramoyl-L-alanine amidase	COG:COG0860, COG:M, EC:3.5.1.28, KEGG:K01448, RefSeq:WP_000135285.1, SO:0001217, UniParc:UPI00016B5991, UniRef:UniRef100_A0A9Q7N764, UniRef:UniRef50_W8YB76, UniRef:UniRef90_Q81CE7
chromosome	cds	8996	9445	-	GBJ002_00010		DUF6884 domain-containing protein	RefSeq:WP_000824878.1, SO:0001217, UniParc:UPI00005B504E, UniRef:UniRef100_A0A9X6XT02, UniRef:UniRef50_A0A9W3X0Q7, UniRef:UniRef90_A0A9W3X0Q7
