GBJ002_00001	BTF1_09110
GBJ002_00002	BTF1_09105
GBJ002_00003	BTF1_09100
GBJ002_00004	BTF1_09095
GBJ002_00005	BTF1_09090
GBJ002_00006	BTF1_09085
GBJ002_00007	BTF1_09080
GBJ002_00008	BTF1_09075
GBJ002_00009	BTF1_09070
GBJ002_00010	BTF1_09065
GBJ002_00011	BTF1_09060
GBJ002_00012	BTF1_09055
GBJ002_00013	BTF1_09050
GBJ002_00014	BTF1_09045
GBJ002_00015	BTF1_09040
GBJ002_00016	BTF1_09035
GBJ002_00017	BTF1_09030
GBJ002_00018	BTF1_09025
GBJ002_00019	BTF1_09020
GBJ002_00020	BTF1_09015
GBJ002_00021	BTF1_09010
GBJ002_00022	BTF1_09005
GBJ002_00023	BTF1_09000
GBJ002_00024	BTF1_08995
GBJ002_00025	BTF1_08990
GBJ002_00026	BTF1_08985
GBJ002_00027	BTF1_08980
GBJ002_00028	BTF1_08975
GBJ002_00029	BTF1_08970
GBJ002_00030	BTF1_08965
GBJ002_00031	BTF1_08960
GBJ002_00032	BTF1_08950
GBJ002_00033	BTF1_08945
GBJ002_00034	BTF1_08940
GBJ002_00035	BTF1_08935
GBJ002_00036	BTF1_08930
GBJ002_00037	BTF1_08925
GBJ002_00038	BTF1_08920
GBJ002_00039	BTF1_08915
GBJ002_00040	BTF1_08910
GBJ002_00041	BTF1_08905
GBJ002_00042	BTF1_08900
GBJ002_00043	BTF1_08890
GBJ002_00044	BTF1_08885
GBJ002_00045	BTF1_08880
GBJ002_00046	BTF1_08875
GBJ002_00047	BTF1_08870
GBJ002_00048	BTF1_08865
GBJ002_00049	BTF1_08860
GBJ002_00050	BTF1_08855
GBJ002_00051	BTF1_08850
GBJ002_00052	BTF1_08845
GBJ002_00053	BTF1_08840
GBJ002_00054	BTF1_08835
GBJ002_00055	BTF1_08830
GBJ002_00056	BTF1_08825
GBJ002_00057	BTF1_08820
GBJ002_00058	BTF1_08810
GBJ002_00059	BTF1_08805
GBJ002_00060	BTF1_08800
GBJ002_00061	BTF1_08795
GBJ002_00062	None
GBJ002_00063	BTF1_08785
GBJ002_00064	BTF1_08780
GBJ002_00065	BTF1_08775
GBJ002_00066	BTF1_08770
GBJ002_00067	BTF1_08765
GBJ002_00068	BTF1_08760
GBJ002_00069	BTF1_08755
GBJ002_00070	BTF1_08750
GBJ002_00071	BTF1_08745
GBJ002_00072	BTF1_08740
GBJ002_00073	BTF1_08735
GBJ002_00074	BTF1_08730
GBJ002_00075	BTF1_08725
GBJ002_00076	BTF1_08720
GBJ002_00077	BTF1_08715
GBJ002_00078	BTF1_08710
GBJ002_00079	BTF1_08705
GBJ002_00080	BTF1_08700
GBJ002_00081	BTF1_08695
GBJ002_00082	BTF1_08690
GBJ002_00083	BTF1_08685
GBJ002_00084	BTF1_08680
GBJ002_00085	BTF1_08675
